loc,species,treatment,animal_id,SL,size,attraction,comment
LIRS 2016,Humbug,control,325,36,big,19.36467472,80 min trials: pred cue was turned on to one channel at 40 min (2400) then switched to the other channel at 60 min (3600) for 20 min. Values here a mean of two 16min sections - 2580-3480 & 3780-4680
LIRS 2016,Humbug,control,330,39,big,30.15432165,80 min trials: pred cue was turned on to one channel at 40 min (2400) then switched to the other channel at 60 min (3600) for 20 min. Values here a mean of two 16min sections - 2580-3480 & 3780-4680
LIRS 2016,Humbug,control,340,40,big,22.19624476,80 min trials: pred cue was turned on to one channel at 40 min (2400) then switched to the other channel at 60 min (3600) for 20 min. Values here a mean of two 16min sections - 2580-3480 & 3780-4680
LIRS 2016,Whitedams,control,350,44,big,16.4417751,80 min trials: pred cue was turned on to one channel at 40 min (2400) then switched to the other channel at 60 min (3600) for 20 min. Values here a mean of two 16min sections - 2580-3480 & 3780-4680
LIRS 2016,Humbug,control,360,39,big,59.11736292,80 min trials: pred cue was turned on to one channel at 40 min (2400) then switched to the other channel at 60 min (3600) for 20 min. Values here a mean of two 16min sections - 2580-3480 & 3780-4680
LIRS 2016,Humbug,control,365,42,big,45.7561589,80 min trials: pred cue was turned on to one channel at 40 min (2400) then switched to the other channel at 60 min (3600) for 20 min. Values here a mean of two 16min sections - 2580-3480 & 3780-4680
LIRS 2016,Humbug,control,370,37,big,18.50898234,80 min trials: pred cue was turned on to one channel at 40 min (2400) then switched to the other channel at 60 min (3600) for 20 min. Values here a mean of two 16min sections - 2580-3480 & 3780-4680
LIRS 2016,Whitedams,CO2,375,37,big,25.55591217,80 min trials: pred cue was turned on to one channel at 40 min (2400) then switched to the other channel at 60 min (3600) for 20 min. Values here a mean of two 16min sections - 2580-3480 & 3780-4680
LIRS 2016,Humbug,CO2,390,39,big,47.55304974,80 min trials: pred cue was turned on to one channel at 40 min (2400) then switched to the other channel at 60 min (3600) for 20 min. Values here a mean of two 16min sections - 2580-3480 & 3780-4680
LIRS 2014,Lemon,control,day 4 tank 3 fish 1,19.54609117,big,42.4951756,"18 min pred trials, mean of 5 through 10 min and 13 through 18 min (i.e., mean of 12 min total)"
LIRS 2014,Lemon,control,day 4 tank 3 fish 3,26.55073425,big,26.43483548,"18 min pred trials, mean of 5 through 10 min and 13 through 18 min (i.e., mean of 12 min total)"
LIRS 2014,Lemon,control,day 4 tank 3 fish 4,23.92399309,big,33.44690301,"18 min pred trials, mean of 5 through 10 min and 13 through 18 min (i.e., mean of 12 min total)"
LIRS 2014,Lemon,control,day 4 tank 3 fish 5,30.92863617,big,28.84259657,"18 min pred trials, mean of 5 through 10 min and 13 through 18 min (i.e., mean of 12 min total)"
LIRS 2014,Lemon,control,day 4 tank 3 fish 6,24.79957348,big,29.31997541,"18 min pred trials, mean of 5 through 10 min and 13 through 18 min (i.e., mean of 12 min total)"
LIRS 2014,Lemon,control,day 4 tank 3 fish 8,28.30189502,big,22.08092558,"18 min pred trials, mean of 5 through 10 min and 13 through 18 min (i.e., mean of 12 min total)"
LIRS 2014,Lemon,CO2,day 5 tank 1 fish 1,23.92399309,big,19.7095274,"18 min pred trials, mean of 5 through 10 min and 13 through 18 min (i.e., mean of 12 min total)"
LIRS 2014,Lemon,CO2,day 5 tank 1 fish 2,28.30189502,big,0,"18 min pred trials, mean of 5 through 10 min and 13 through 18 min (i.e., mean of 12 min total)"
LIRS 2014,Lemon,CO2,day 5 tank 1 fish 4,28.30189502,big,31.70163779,"18 min pred trials, mean of 5 through 10 min and 13 through 18 min (i.e., mean of 12 min total)"
LIRS 2014,Lemon,CO2,day 5 tank 1 fish 5,22.17283232,big,29.22269461,"18 min pred trials, mean of 5 through 10 min and 13 through 18 min (i.e., mean of 12 min total)"
LIRS 2014,Lemon,control,day 6 tank 4 fish 2,28.30189502,big,51.49743434,"18 min pred trials, mean of 5 through 10 min and 13 through 18 min (i.e., mean of 12 min total)"
LIRS 2014,Lemon,control,day 6 tank 4 fish 3,27.42631463,big,16.99520408,"18 min pred trials, mean of 5 through 10 min and 13 through 18 min (i.e., mean of 12 min total)"
LIRS 2014,Lemon,control,day 6 tank 4 fish 4,27.42631463,big,4.801533498,"18 min pred trials, mean of 5 through 10 min and 13 through 18 min (i.e., mean of 12 min total)"
LIRS 2014,Lemon,control,day 6 tank 4 fish 6,23.92399309,big,16.36050785,"18 min pred trials, mean of 5 through 10 min and 13 through 18 min (i.e., mean of 12 min total)"
LIRS 2014,Lemon,control,day 6 tank 4 fish 7,30.05305578,big,26.91779278,"18 min pred trials, mean of 5 through 10 min and 13 through 18 min (i.e., mean of 12 min total)"
LIRS 2014,Lemon,control,day 6 tank 4 fish 5,24.79957348,big,10.46153418,"18 min pred trials, mean of 5 through 10 min and 13 through 18 min (i.e., mean of 12 min total)"
LIRS 2014,Lemon,control,day 6 tank 4 fish 8,30.05305578,big,2.311901281,"18 min pred trials, mean of 5 through 10 min and 13 through 18 min (i.e., mean of 12 min total)"
LIRS 2014,Lemon,CO2,day 6 tank 2 fish 1,25.67515386,big,20.4622222,"18 min pred trials, mean of 5 through 10 min and 13 through 18 min (i.e., mean of 12 min total)"
LIRS 2014,Lemon,CO2,day 6 tank 2 fish 2,28.30189502,big,37.55926468,"18 min pred trials, mean of 5 through 10 min and 13 through 18 min (i.e., mean of 12 min total)"
LIRS 2014,Lemon,CO2,day 6 tank 2 fish 3,29.1774754,big,55.57747802,"18 min pred trials, mean of 5 through 10 min and 13 through 18 min (i.e., mean of 12 min total)"
LIRS 2014,Lemon,CO2,day 6 tank 2 fish 4,30.05305578,big,28.82656918,"18 min pred trials, mean of 5 through 10 min and 13 through 18 min (i.e., mean of 12 min total)"
LIRS 2014,Lemon,CO2,day 6 tank 2 fish 5,23.92399309,big,22.80937902,"18 min pred trials, mean of 5 through 10 min and 13 through 18 min (i.e., mean of 12 min total)"
LIRS 2014,Lemon,CO2,day 7 tank 6 fish 1,26.55073425,big,39.44514143,"18 min pred trials, mean of 5 through 10 min and 13 through 18 min (i.e., mean of 12 min total)"
LIRS 2014,Lemon,CO2,day 7 tank 6 fish 2,32.67979694,big,25.61582253,"18 min pred trials, mean of 5 through 10 min and 13 through 18 min (i.e., mean of 12 min total)"
LIRS 2014,Lemon,CO2,day 7 tank 6 fish 3,30.92863617,big,24.74647536,"18 min pred trials, mean of 5 through 10 min and 13 through 18 min (i.e., mean of 12 min total)"
LIRS 2014,Lemon,CO2,day 7 tank 6 fish 4,30.92863617,big,18.44236065,"18 min pred trials, mean of 5 through 10 min and 13 through 18 min (i.e., mean of 12 min total)"
LIRS 2014,Lemon,CO2,day 7 tank 6 fish 5,22.17283232,big,35.39205575,"18 min pred trials, mean of 5 through 10 min and 13 through 18 min (i.e., mean of 12 min total)"
LIRS 2014,Lemon,CO2,day 7 tank 6 fish 6,34.43095771,big,31.70819039,"18 min pred trials, mean of 5 through 10 min and 13 through 18 min (i.e., mean of 12 min total)"
LIRS 2014,Lemon,CO2,day 7 tank 6 fish 7,31.80421655,big,45.01834485,"18 min pred trials, mean of 5 through 10 min and 13 through 18 min (i.e., mean of 12 min total)"
LIRS 2014,Lemon,CO2,day 7 tank 6 fish 8,28.30189502,big,41.25870076,"18 min pred trials, mean of 5 through 10 min and 13 through 18 min (i.e., mean of 12 min total)"
LIRS 2014,Lemon,CO2,day 7 tank 5 fish 1,30.92863617,big,21.43533581,"18 min pred trials, mean of 5 through 10 min and 13 through 18 min (i.e., mean of 12 min total)"
LIRS 2014,Lemon,CO2,day 7 tank 5 fish 2,25.67515386,big,22.5445114,"18 min pred trials, mean of 5 through 10 min and 13 through 18 min (i.e., mean of 12 min total)"
LIRS 2014,Lemon,CO2,day 7 tank 5 fish 3,33.55537732,big,51.58492548,"18 min pred trials, mean of 5 through 10 min and 13 through 18 min (i.e., mean of 12 min total)"
LIRS 2014,Lemon,CO2,day 7 tank 5 fish 4,23.04841271,big,60.72533068,"18 min pred trials, mean of 5 through 10 min and 13 through 18 min (i.e., mean of 12 min total)"
LIRS 2014,Lemon,CO2,day 7 tank 5 fish 5,24.79957348,big,34.60321531,"18 min pred trials, mean of 5 through 10 min and 13 through 18 min (i.e., mean of 12 min total)"
LIRS 2014,Lemon,CO2,day 7 tank 5 fish 6,30.92863617,big,50.2722323,"18 min pred trials, mean of 5 through 10 min and 13 through 18 min (i.e., mean of 12 min total)"
LIRS 2014,Lemon,control,day 8 tank 7 fish 1,24.79957348,big,44.83735891,"18 min pred trials, mean of 5 through 10 min and 13 through 18 min (i.e., mean of 12 min total)"
LIRS 2014,Lemon,control,day 8 tank 7 fish 2,23.92399309,big,43.70758606,"18 min pred trials, mean of 5 through 10 min and 13 through 18 min (i.e., mean of 12 min total)"
LIRS 2014,Lemon,control,day 8 tank 7 fish 3,27.42631463,big,44.78987322,"18 min pred trials, mean of 5 through 10 min and 13 through 18 min (i.e., mean of 12 min total)"
LIRS 2014,Lemon,control,day 8 tank 7 fish 4,30.05305578,big,10.5073272,"18 min pred trials, mean of 5 through 10 min and 13 through 18 min (i.e., mean of 12 min total)"
LIRS 2014,Lemon,control,day 8 tank 7 fish 5,32.67979694,big,49.74548917,"18 min pred trials, mean of 5 through 10 min and 13 through 18 min (i.e., mean of 12 min total)"
LIRS 2014,Lemon,control,day 8 tank 7 fish 6,34.43095771,big,37.16974737,"18 min pred trials, mean of 5 through 10 min and 13 through 18 min (i.e., mean of 12 min total)"
LIRS 2014,Lemon,control,day 8 tank 8 fish 1,30.05305578,big,0,"18 min pred trials, mean of 5 through 10 min and 13 through 18 min (i.e., mean of 12 min total)"
LIRS 2014,Lemon,control,day 8 tank 8 fish 3,26.55073425,big,41.87506623,"18 min pred trials, mean of 5 through 10 min and 13 through 18 min (i.e., mean of 12 min total)"
LIRS 2014,Lemon,control,day 8 tank 8 fish 4,28.30189502,big,19.50854125,"18 min pred trials, mean of 5 through 10 min and 13 through 18 min (i.e., mean of 12 min total)"
LIRS 2014,Lemon,control,day 8 tank 8 fish 5,34.43095771,big,5.937450496,"18 min pred trials, mean of 5 through 10 min and 13 through 18 min (i.e., mean of 12 min total)"
LIRS 2014,Lemon,control,day 8 tank 8 fish 6,24.79957348,big,18.15683272,"18 min pred trials, mean of 5 through 10 min and 13 through 18 min (i.e., mean of 12 min total)"
LIRS 2014,Lemon,control,day 8 tank 8 fish 7,28.30189502,big,48.08082834,"18 min pred trials, mean of 5 through 10 min and 13 through 18 min (i.e., mean of 12 min total)"
LIRS 2014,Chromis,control,Tank 3 fish 1,19.54609117,big,22.01927328,"18 min pred trials, mean of 5 through 10 min and 13 through 18 min (i.e., mean of 12 min total)"
LIRS 2014,Chromis,control,Tank 3 fish 2,23.92399309,big,57.15271136,"18 min pred trials, mean of 5 through 10 min and 13 through 18 min (i.e., mean of 12 min total)"
LIRS 2014,Chromis,control,Tank 3 fish 3,17.7949304,big,30.15340171,"18 min pred trials, mean of 5 through 10 min and 13 through 18 min (i.e., mean of 12 min total)"
LIRS 2014,Chromis,control,Tank 3 fish 4,32.67979694,big,12.30385025,"18 min pred trials, mean of 5 through 10 min and 13 through 18 min (i.e., mean of 12 min total)"
LIRS 2014,Chromis,control,Tank 4 fish 1_2,26.55073425,big,22.93105116,"18 min pred trials, mean of 5 through 10 min and 13 through 18 min (i.e., mean of 12 min total)"
LIRS 2014,Chromis,control,Tank 4 fish 2_2,30.92863617,big,51.49879037,"18 min pred trials, mean of 5 through 10 min and 13 through 18 min (i.e., mean of 12 min total)"
LIRS 2014,Chromis,control,Tank 4 fish 3_2,23.04841271,big,29.43070452,"18 min pred trials, mean of 5 through 10 min and 13 through 18 min (i.e., mean of 12 min total)"
LIRS 2014,Chromis,control,Tank 4 fish 4_2,22.17283232,big,28.5410557,"18 min pred trials, mean of 5 through 10 min and 13 through 18 min (i.e., mean of 12 min total)"
LIRS 2014,Chromis,control,Tank 4 fish 5_2,21.29725194,big,17.68599815,"18 min pred trials, mean of 5 through 10 min and 13 through 18 min (i.e., mean of 12 min total)"
LIRS 2014,Chromis,control,Tank 4 fish 7_2,28.30189502,big,34.74944883,"18 min pred trials, mean of 5 through 10 min and 13 through 18 min (i.e., mean of 12 min total)"
LIRS 2014,Chromis,control,Tank 4 fish 8_2,19.54609117,big,17.32202905,"18 min pred trials, mean of 5 through 10 min and 13 through 18 min (i.e., mean of 12 min total)"
LIRS 2014,Chromis,control,Tank 8 fish 1,34.43095771,big,20.09976461,"18 min pred trials, mean of 5 through 10 min and 13 through 18 min (i.e., mean of 12 min total)"
LIRS 2014,Chromis,control,Tank 7 fish 1,19.54609117,big,16.02333988,"18 min pred trials, mean of 5 through 10 min and 13 through 18 min (i.e., mean of 12 min total)"
LIRS 2014,Chromis,control,Tank 7 fish 5,34.43095771,big,0.383535861,"18 min pred trials, mean of 5 through 10 min and 13 through 18 min (i.e., mean of 12 min total)"
LIRS 2014,Chromis,control,Tank 7 fish 6,21.29725194,big,60.30550265,"18 min pred trials, mean of 5 through 10 min and 13 through 18 min (i.e., mean of 12 min total)"
LIRS 2014,Chromis,control,Tank 7 fish 7,23.92399309,big,27.21373335,"18 min pred trials, mean of 5 through 10 min and 13 through 18 min (i.e., mean of 12 min total)"
LIRS 2014,Chromis,CO2,Tank 5 fish 1,19.54609117,big,10.00990998,"18 min pred trials, mean of 5 through 10 min and 13 through 18 min (i.e., mean of 12 min total)"
LIRS 2014,Chromis,CO2,Tank 5 fish 2,20.42167155,big,44.16694674,"18 min pred trials, mean of 5 through 10 min and 13 through 18 min (i.e., mean of 12 min total)"
LIRS 2014,Chromis,CO2,Tank 5 fish 3,32.67979694,big,16.92553825,"18 min pred trials, mean of 5 through 10 min and 13 through 18 min (i.e., mean of 12 min total)"
LIRS 2014,Chromis,CO2,Tank 5 fish 4,32.67979694,big,42.31358141,"18 min pred trials, mean of 5 through 10 min and 13 through 18 min (i.e., mean of 12 min total)"
LIRS 2014,Chromis,CO2,Tank 2 fish 1,17.7949304,big,25.49095151,"18 min pred trials, mean of 5 through 10 min and 13 through 18 min (i.e., mean of 12 min total)"
LIRS 2014,Chromis,CO2,Tank 2 fish 2,26.55073425,big,50.2357395,"18 min pred trials, mean of 5 through 10 min and 13 through 18 min (i.e., mean of 12 min total)"
LIRS 2014,Chromis,CO2,Tank 2 fish 3,23.92399309,big,1.816016937,"18 min pred trials, mean of 5 through 10 min and 13 through 18 min (i.e., mean of 12 min total)"
LIRS 2014,Chromis,CO2,Tank 2 fish 4,18.67051078,big,48.65281321,"18 min pred trials, mean of 5 through 10 min and 13 through 18 min (i.e., mean of 12 min total)"
LIRS 2014,Chromis,CO2,Tank 2 fish 5,30.92863617,big,21.63911034,"18 min pred trials, mean of 5 through 10 min and 13 through 18 min (i.e., mean of 12 min total)"
LIRS 2014,Chromis,CO2,Tank 6 fish 1,24.79957348,big,34.46457513,"18 min pred trials, mean of 5 through 10 min and 13 through 18 min (i.e., mean of 12 min total)"
LIRS 2014,Chromis,control,Tank 8 fish 3,15.16818925,big,75.02898551,"18 min pred trials, mean of 5 through 10 min and 13 through 18 min (i.e., mean of 12 min total)"
LIRS 2014,Ambon,CO2,day 7 tank 6 fish 4,30.92863617,big,18.44236065,"18 min pred trials, mean of 5 through 10 min and 13 through 18 min (i.e., mean of 12 min total)"
LIRS 2014,Ambon,CO2,day 7 tank 6 fish 6,34.43095771,big,31.70819039,"18 min pred trials, mean of 5 through 10 min and 13 through 18 min (i.e., mean of 12 min total)"
