Location,Species,Treatment,Fish_ID,SL_mm,Size_group,Time_in_cue,Comment
AIMS 2015,Acantho,CO2,506,10.4012952,small,71.58497927,"18 min pred trials, took 240+300 and 720-780 s sections only from RHQ3 (small fish)"
AIMS 2015,Acantho,CO2,507,10.4012952,small,25.4876043,"18 min pred trials, took 240+300 and 720-780 s sections only from RHQ3 (small fish)"
AIMS 2015,Acantho,CO2,508,10.40382701,small,50.29215359,"18 min pred trials, took 240+300 and 720-780 s sections only from RHQ3 (small fish)"
AIMS 2015,Acantho,CO2,509,10.40382701,small,69.23292553,"18 min pred trials, took 240+300 and 720-780 s sections only from RHQ3 (small fish)"
AIMS 2015,Acantho,CO2,510,10.4065684,small,48.21149731,"18 min pred trials, took 240+300 and 720-780 s sections only from RHQ3 (small fish)"
AIMS 2015,Acantho,CO2,511,10.4065684,small,47.13534123,"18 min pred trials, took 240+300 and 720-780 s sections only from RHQ3 (small fish)"
AIMS 2015,Acantho,CO2,512,10.41820075,small,51.49056063,"18 min pred trials, took 240+300 and 720-780 s sections only from RHQ3 (small fish)"
AIMS 2015,Acantho,CO2,513,10.41820075,small,58.14572456,"18 min pred trials, took 240+300 and 720-780 s sections only from RHQ3 (small fish)"
AIMS 2015,Acantho,CO2,514,10.42067541,small,35.03454774,"18 min pred trials, took 240+300 and 720-780 s sections only from RHQ3 (small fish)"
AIMS 2015,Acantho,CO2,515,10.42067541,small,86.67393807,"18 min pred trials, took 240+300 and 720-780 s sections only from RHQ3 (small fish)"
AIMS 2015,Acantho,CO2,516,10.42318393,small,53.58333333,"18 min pred trials, took 240+300 and 720-780 s sections only from RHQ3 (small fish)"
AIMS 2015,Acantho,CO2,517,10.42318393,small,84.88292661,"18 min pred trials, took 240+300 and 720-780 s sections only from RHQ3 (small fish)"
AIMS 2015,Acantho,CO2,518,10.42574749,small,46.41666667,"18 min pred trials, took 240+300 and 720-780 s sections only from RHQ3 (small fish)"
AIMS 2015,Acantho,CO2,519,10.42574749,small,15.11707339,"18 min pred trials, took 240+300 and 720-780 s sections only from RHQ3 (small fish)"
AIMS 2015,Acantho,CO2,520,10.42844442,small,35.66666667,"18 min pred trials, took 240+300 and 720-780 s sections only from RHQ3 (small fish)"
AIMS 2015,Acantho,CO2,521,10.42844442,small,26.80151973,"18 min pred trials, took 240+300 and 720-780 s sections only from RHQ3 (small fish)"
AIMS 2015,Acantho,CO2,522,10.43094024,small,68.39091084,"18 min pred trials, took 240+300 and 720-780 s sections only from RHQ3 (small fish)"
AIMS 2015,Acantho,CO2,523,10.43094024,small,78.94485239,"18 min pred trials, took 240+300 and 720-780 s sections only from RHQ3 (small fish)"
AIMS 2015,Acantho,control,454,9.479887764,small,31.98024485,"18 min pred trials, took 240+300 and 720-780 s sections only from RHQ3 (small fish)"
AIMS 2015,Acantho,control,455,9.479887764,small,37.52297472,"18 min pred trials, took 240+300 and 720-780 s sections only from RHQ3 (small fish)"
AIMS 2015,Acantho,control,456,9.482434392,small,81.50138079,"18 min pred trials, took 240+300 and 720-780 s sections only from RHQ3 (small fish)"
AIMS 2015,Acantho,control,457,9.482434392,small,44.5,"18 min pred trials, took 240+300 and 720-780 s sections only from RHQ3 (small fish)"
AIMS 2015,Acantho,control,458,9.485154606,small,32.91522637,"18 min pred trials, took 240+300 and 720-780 s sections only from RHQ3 (small fish)"
AIMS 2015,Acantho,control,459,9.485154606,small,34.58008806,"18 min pred trials, took 240+300 and 720-780 s sections only from RHQ3 (small fish)"
AIMS 2015,Acantho,control,460,9.487652546,small,56.70762173,"18 min pred trials, took 240+300 and 720-780 s sections only from RHQ3 (small fish)"
AIMS 2015,Acantho,control,461,9.487652546,small,71.94110877,"18 min pred trials, took 240+300 and 720-780 s sections only from RHQ3 (small fish)"
AIMS 2015,Acantho,control,462,9.498124841,small,39.5,"18 min pred trials, took 240+300 and 720-780 s sections only from RHQ3 (small fish)"
AIMS 2015,Acantho,control,463,9.498124841,small,9.901416393,"18 min pred trials, took 240+300 and 720-780 s sections only from RHQ3 (small fish)"
AIMS 2015,Acantho,control,464,9.50069899,small,36.97829716,"18 min pred trials, took 240+300 and 720-780 s sections only from RHQ3 (small fish)"
AIMS 2015,Acantho,control,465,9.50069899,small,42.03868786,"18 min pred trials, took 240+300 and 720-780 s sections only from RHQ3 (small fish)"
AIMS 2015,Acantho,control,466,9.503262553,small,57.7947001,"18 min pred trials, took 240+300 and 720-780 s sections only from RHQ3 (small fish)"
AIMS 2015,Acantho,control,467,9.503262553,small,45.9151908,"18 min pred trials, took 240+300 and 720-780 s sections only from RHQ3 (small fish)"
AIMS 2015,Acantho,control,468,9.50585152,small,72.92699348,"18 min pred trials, took 240+300 and 720-780 s sections only from RHQ3 (small fish)"
AIMS 2015,Acantho,control,469,9.50585152,small,2.311495475,"18 min pred trials, took 240+300 and 720-780 s sections only from RHQ3 (small fish)"
AIMS 2015,Acantho,control,470,9.508525162,small,30.34128978,"18 min pred trials, took 240+300 and 720-780 s sections only from RHQ3 (small fish)"
AIMS 2015,Acantho,control,471,9.508525162,small,50.87646077,"18 min pred trials, took 240+300 and 720-780 s sections only from RHQ3 (small fish)"
AIMS 2015,Acantho,control,472,9.511061206,small,50,"18 min pred trials, took 240+300 and 720-780 s sections only from RHQ3 (small fish)"
AIMS 2015,Acantho,control,473,9.511061206,small,29.7640563,"18 min pred trials, took 240+300 and 720-780 s sections only from RHQ3 (small fish)"
AIMS 2015,Acantho,control,474,9.51368616,small,29.91903172,"18 min pred trials, took 240+300 and 720-780 s sections only from RHQ3 (small fish)"
AIMS 2015,Acantho,control,475,9.51368616,small,47.54929898,"18 min pred trials, took 240+300 and 720-780 s sections only from RHQ3 (small fish)"
AIMS 2015,Acantho,control,476,9.516304763,small,17.6593763,"18 min pred trials, took 240+300 and 720-780 s sections only from RHQ3 (small fish)"
AIMS 2015,Acantho,control,477,9.516304763,small,24.84990012,"18 min pred trials, took 240+300 and 720-780 s sections only from RHQ3 (small fish)"
AIMS 2015,Acantho,control,478,9.518855625,small,23.61725293,"18 min pred trials, took 240+300 and 720-780 s sections only from RHQ3 (small fish)"
AIMS 2015,Acantho,control,479,9.518855625,small,30.56804858,"18 min pred trials, took 240+300 and 720-780 s sections only from RHQ3 (small fish)"
AIMS 2015,Acantho,control,524,10.57874631,small,44.20833333,"18 min pred trials, took 240+300 and 720-780 s sections only from RHQ3 (small fish)"
AIMS 2015,Acantho,control,525,10.57874631,small,26.37372846,"18 min pred trials, took 240+300 and 720-780 s sections only from RHQ3 (small fish)"
AIMS 2015,Acantho,control,526,10.58130352,small,12.67683946,"18 min pred trials, took 240+300 and 720-780 s sections only from RHQ3 (small fish)"
AIMS 2015,Acantho,control,527,10.58130352,small,46.33965879,"18 min pred trials, took 240+300 and 720-780 s sections only from RHQ3 (small fish)"
AIMS 2015,Acantho,control,528,10.58390519,small,72.13376461,"18 min pred trials, took 240+300 and 720-780 s sections only from RHQ3 (small fish)"
AIMS 2015,Acantho,control,529,10.58390519,small,52.43800019,"18 min pred trials, took 240+300 and 720-780 s sections only from RHQ3 (small fish)"
AIMS 2015,Acantho,control,530,10.58643911,small,34.66637945,"18 min pred trials, took 240+300 and 720-780 s sections only from RHQ3 (small fish)"
AIMS 2015,Acantho,control,531,10.58643911,small,30.51728678,"18 min pred trials, took 240+300 and 720-780 s sections only from RHQ3 (small fish)"
AIMS 2015,Acantho,control,532,10.58892647,small,49.58333333,"18 min pred trials, took 240+300 and 720-780 s sections only from RHQ3 (small fish)"
AIMS 2015,Acantho,control,533,10.58892647,small,25.54308974,"18 min pred trials, took 240+300 and 720-780 s sections only from RHQ3 (small fish)"
AIMS 2015,Acantho,control,534,10.59142864,small,26.00396494,"18 min pred trials, took 240+300 and 720-780 s sections only from RHQ3 (small fish)"
AIMS 2015,Acantho,control,535,10.59142864,small,49.01068275,"18 min pred trials, took 240+300 and 720-780 s sections only from RHQ3 (small fish)"
AIMS 2015,Acantho,control,536,10.59393293,small,46.28971898,"18 min pred trials, took 240+300 and 720-780 s sections only from RHQ3 (small fish)"
AIMS 2015,Acantho,control,537,10.59393293,small,13.9180379,"18 min pred trials, took 240+300 and 720-780 s sections only from RHQ3 (small fish)"
AIMS 2015,Acantho,control,538,10.59646263,small,48.43576389,"18 min pred trials, took 240+300 and 720-780 s sections only from RHQ3 (small fish)"
AIMS 2015,Acantho,control,539,10.59646263,small,12.61079806,"18 min pred trials, took 240+300 and 720-780 s sections only from RHQ3 (small fish)"
AIMS 2015,Acantho,control,540,10.59920613,small,8.925848637,"18 min pred trials, took 240+300 and 720-780 s sections only from RHQ3 (small fish)"
AIMS 2015,Acantho,control,541,10.59920613,small,43.95563967,"18 min pred trials, took 240+300 and 720-780 s sections only from RHQ3 (small fish)"
AIMS 2015,Acantho,control,542,10.60180144,small,54.95385906,"18 min pred trials, took 240+300 and 720-780 s sections only from RHQ3 (small fish)"
AIMS 2015,Acantho,control,543,10.60180144,small,46.03074096,"18 min pred trials, took 240+300 and 720-780 s sections only from RHQ3 (small fish)"
AIMS 2015,Acantho,control,544,10.60433749,small,86.78373632,"18 min pred trials, took 240+300 and 720-780 s sections only from RHQ3 (small fish)"
AIMS 2015,Acantho,control,545,10.60433749,small,14.44003983,"18 min pred trials, took 240+300 and 720-780 s sections only from RHQ3 (small fish)"
AIMS 2015,Acantho,control,546,10.60698361,small,36.75473802,"18 min pred trials, took 240+300 and 720-780 s sections only from RHQ3 (small fish)"
AIMS 2015,Acantho,control,547,10.60698361,small,9.144308943,"18 min pred trials, took 240+300 and 720-780 s sections only from RHQ3 (small fish)"
LIRS 2014,Lemon,control,day 4 tank 3 fish 1,19.54609117,medium,73.71262458,"18 min pred trials, mean of 5+6 min (240+300 start) and 13+14 min (720+780 start)"
LIRS 2014,Lemon,control,day 4 tank 3 fish 3,26.55073425,medium,47.14403974,"18 min pred trials, mean of 5+6 min (240+300 start) and 13+14 min (720+780 start)"
LIRS 2014,Lemon,control,day 4 tank 3 fish 4,23.92399309,medium,33.20589429,"18 min pred trials, mean of 5+6 min (240+300 start) and 13+14 min (720+780 start)"
LIRS 2014,Lemon,control,day 4 tank 3 fish 5,30.92863617,medium,53.0375266,"18 min pred trials, mean of 5+6 min (240+300 start) and 13+14 min (720+780 start)"
LIRS 2014,Lemon,control,day 4 tank 3 fish 6,24.79957348,medium,33.16823406,"18 min pred trials, mean of 5+6 min (240+300 start) and 13+14 min (720+780 start)"
LIRS 2014,Lemon,control,day 4 tank 3 fish 8,28.30189502,medium,28.43241063,"18 min pred trials, mean of 5+6 min (240+300 start) and 13+14 min (720+780 start)"
LIRS 2014,Lemon,CO2,day 5 tank 1 fish 1,23.92399309,medium,17.49838194,"18 min pred trials, mean of 5+6 min (240+300 start) and 13+14 min (720+780 start)"
LIRS 2014,Lemon,CO2,day 5 tank 1 fish 2,28.30189502,medium,0,"18 min pred trials, mean of 5+6 min (240+300 start) and 13+14 min (720+780 start)"
LIRS 2014,Lemon,CO2,day 5 tank 1 fish 4,28.30189502,medium,26.87016562,"18 min pred trials, mean of 5+6 min (240+300 start) and 13+14 min (720+780 start)"
LIRS 2014,Lemon,CO2,day 5 tank 1 fish 5,22.17283232,medium,45.17629839,"18 min pred trials, mean of 5+6 min (240+300 start) and 13+14 min (720+780 start)"
LIRS 2014,Lemon,control,day 6 tank 4 fish 2,28.30189502,medium,98.87312187,"18 min pred trials, mean of 5+6 min (240+300 start) and 13+14 min (720+780 start)"
LIRS 2014,Lemon,control,day 6 tank 4 fish 3,27.42631463,medium,15.16380196,"18 min pred trials, mean of 5+6 min (240+300 start) and 13+14 min (720+780 start)"
LIRS 2014,Lemon,control,day 6 tank 4 fish 4,27.42631463,medium,0.689655172,"18 min pred trials, mean of 5+6 min (240+300 start) and 13+14 min (720+780 start)"
LIRS 2014,Lemon,control,day 6 tank 4 fish 6,23.92399309,medium,5.485435618,"18 min pred trials, mean of 5+6 min (240+300 start) and 13+14 min (720+780 start)"
LIRS 2014,Lemon,control,day 6 tank 4 fish 7,30.05305578,medium,26.87733754,"18 min pred trials, mean of 5+6 min (240+300 start) and 13+14 min (720+780 start)"
LIRS 2014,Lemon,control,day 6 tank 4 fish 5,24.79957348,medium,7.239325439,"18 min pred trials, mean of 5+6 min (240+300 start) and 13+14 min (720+780 start)"
LIRS 2014,Lemon,control,day 6 tank 4 fish 8,30.05305578,medium,1.243339254,"18 min pred trials, mean of 5+6 min (240+300 start) and 13+14 min (720+780 start)"
LIRS 2014,Lemon,CO2,day 6 tank 2 fish 1,25.67515386,medium,24.1190536,"18 min pred trials, mean of 5+6 min (240+300 start) and 13+14 min (720+780 start)"
LIRS 2014,Lemon,CO2,day 6 tank 2 fish 2,28.30189502,medium,66.79657081,"18 min pred trials, mean of 5+6 min (240+300 start) and 13+14 min (720+780 start)"
LIRS 2014,Lemon,CO2,day 6 tank 2 fish 3,29.1774754,medium,56.66442285,"18 min pred trials, mean of 5+6 min (240+300 start) and 13+14 min (720+780 start)"
LIRS 2014,Lemon,CO2,day 6 tank 2 fish 4,30.05305578,medium,31.35332165,"18 min pred trials, mean of 5+6 min (240+300 start) and 13+14 min (720+780 start)"
LIRS 2014,Lemon,CO2,day 6 tank 2 fish 5,23.92399309,medium,48.82251938,"18 min pred trials, mean of 5+6 min (240+300 start) and 13+14 min (720+780 start)"
LIRS 2014,Lemon,CO2,day 7 tank 6 fish 1,26.55073425,medium,40.40898333,"18 min pred trials, mean of 5+6 min (240+300 start) and 13+14 min (720+780 start)"
LIRS 2014,Lemon,CO2,day 7 tank 6 fish 2,32.67979694,medium,27.7558976,"18 min pred trials, mean of 5+6 min (240+300 start) and 13+14 min (720+780 start)"
LIRS 2014,Lemon,CO2,day 7 tank 6 fish 3,30.92863617,medium,21.37540931,"18 min pred trials, mean of 5+6 min (240+300 start) and 13+14 min (720+780 start)"
LIRS 2014,Lemon,CO2,day 7 tank 6 fish 4,30.92863617,medium,14.56201272,"18 min pred trials, mean of 5+6 min (240+300 start) and 13+14 min (720+780 start)"
LIRS 2014,Lemon,CO2,day 7 tank 6 fish 5,22.17283232,medium,37.99256711,"18 min pred trials, mean of 5+6 min (240+300 start) and 13+14 min (720+780 start)"
LIRS 2014,Lemon,CO2,day 7 tank 6 fish 6,34.43095771,medium,21.49687265,"18 min pred trials, mean of 5+6 min (240+300 start) and 13+14 min (720+780 start)"
LIRS 2014,Lemon,CO2,day 7 tank 6 fish 7,31.80421655,medium,0,"18 min pred trials, mean of 5+6 min (240+300 start) and 13+14 min (720+780 start)"
LIRS 2014,Lemon,CO2,day 7 tank 6 fish 8,28.30189502,medium,50.56749544,"18 min pred trials, mean of 5+6 min (240+300 start) and 13+14 min (720+780 start)"
LIRS 2014,Lemon,CO2,day 7 tank 5 fish 1,30.92863617,medium,55.76225045,"18 min pred trials, mean of 5+6 min (240+300 start) and 13+14 min (720+780 start)"
LIRS 2014,Lemon,CO2,day 7 tank 5 fish 2,25.67515386,medium,22.97423936,"18 min pred trials, mean of 5+6 min (240+300 start) and 13+14 min (720+780 start)"
LIRS 2014,Lemon,CO2,day 7 tank 5 fish 3,33.55537732,medium,62.28617234,"18 min pred trials, mean of 5+6 min (240+300 start) and 13+14 min (720+780 start)"
LIRS 2014,Lemon,CO2,day 7 tank 5 fish 4,23.04841271,medium,69.5067102,"18 min pred trials, mean of 5+6 min (240+300 start) and 13+14 min (720+780 start)"
LIRS 2014,Lemon,CO2,day 7 tank 5 fish 5,24.79957348,medium,49.44295488,"18 min pred trials, mean of 5+6 min (240+300 start) and 13+14 min (720+780 start)"
LIRS 2014,Lemon,CO2,day 7 tank 5 fish 6,30.92863617,medium,50.81669691,"18 min pred trials, mean of 5+6 min (240+300 start) and 13+14 min (720+780 start)"
LIRS 2014,Lemon,control,day 8 tank 7 fish 1,24.79957348,medium,46.60090303,"18 min pred trials, mean of 5+6 min (240+300 start) and 13+14 min (720+780 start)"
LIRS 2014,Lemon,control,day 8 tank 7 fish 2,23.92399309,medium,50,"18 min pred trials, mean of 5+6 min (240+300 start) and 13+14 min (720+780 start)"
LIRS 2014,Lemon,control,day 8 tank 7 fish 3,27.42631463,medium,57.26760812,"18 min pred trials, mean of 5+6 min (240+300 start) and 13+14 min (720+780 start)"
LIRS 2014,Lemon,control,day 8 tank 7 fish 4,30.05305578,medium,8.442053986,"18 min pred trials, mean of 5+6 min (240+300 start) and 13+14 min (720+780 start)"
LIRS 2014,Lemon,control,day 8 tank 7 fish 5,32.67979694,medium,52.21745857,"18 min pred trials, mean of 5+6 min (240+300 start) and 13+14 min (720+780 start)"
LIRS 2014,Lemon,control,day 8 tank 7 fish 6,34.43095771,medium,32.80427675,"18 min pred trials, mean of 5+6 min (240+300 start) and 13+14 min (720+780 start)"
LIRS 2014,Lemon,control,day 8 tank 8 fish 1,30.05305578,medium,0,"18 min pred trials, mean of 5+6 min (240+300 start) and 13+14 min (720+780 start)"
LIRS 2014,Lemon,control,day 8 tank 8 fish 3,26.55073425,medium,44.11844543,"18 min pred trials, mean of 5+6 min (240+300 start) and 13+14 min (720+780 start)"
LIRS 2014,Lemon,control,day 8 tank 8 fish 4,28.30189502,medium,30.10275406,"18 min pred trials, mean of 5+6 min (240+300 start) and 13+14 min (720+780 start)"
LIRS 2014,Lemon,control,day 8 tank 8 fish 5,34.43095771,medium,6.518421255,"18 min pred trials, mean of 5+6 min (240+300 start) and 13+14 min (720+780 start)"
LIRS 2014,Lemon,control,day 8 tank 8 fish 6,24.79957348,medium,16.70382355,"18 min pred trials, mean of 5+6 min (240+300 start) and 13+14 min (720+780 start)"
LIRS 2014,Lemon,control,day 8 tank 8 fish 7,28.30189502,medium,55.9471393,"18 min pred trials, mean of 5+6 min (240+300 start) and 13+14 min (720+780 start)"
LIRS 2014,Chromis,CO2,Tank 1 fish 1,,,62.06925957,"18 min pred trials, mean of 5+6 min (240+300 start) and 13+14 min (720+780 start)"
LIRS 2014,Chromis,CO2,Tank 1 fish 2,,,32.61781192,"18 min pred trials, mean of 5+6 min (240+300 start) and 13+14 min (720+780 start)"
LIRS 2014,Chromis,CO2,Tank 1 fish 3,,,48.66749007,"18 min pred trials, mean of 5+6 min (240+300 start) and 13+14 min (720+780 start)"
LIRS 2014,Chromis,CO2,Tank 1 fish 4,,,22.78833822,"18 min pred trials, mean of 5+6 min (240+300 start) and 13+14 min (720+780 start)"
LIRS 2014,Chromis,control,Tank 4 fish 1,,,41.97173732,"18 min pred trials, mean of 5+6 min (240+300 start) and 13+14 min (720+780 start)"
LIRS 2014,Chromis,control,Tank 4 fish 2,,,99.83333333,"18 min pred trials, mean of 5+6 min (240+300 start) and 13+14 min (720+780 start)"
LIRS 2014,Chromis,control,Tank 4 fish 3,,,6.584533311,"18 min pred trials, mean of 5+6 min (240+300 start) and 13+14 min (720+780 start)"
LIRS 2014,Chromis,control,Tank 4 fish 4,,,38.53880415,"18 min pred trials, mean of 5+6 min (240+300 start) and 13+14 min (720+780 start)"
LIRS 2014,Chromis,control,Tank 4 fish 5,,,53.14927518,"18 min pred trials, mean of 5+6 min (240+300 start) and 13+14 min (720+780 start)"
LIRS 2014,Chromis,control,Tank 3 fish 1,19.54609117,medium,22.73385285,"18 min pred trials, mean of 5+6 min (240+300 start) and 13+14 min (720+780 start)"
LIRS 2014,Chromis,control,Tank 3 fish 2,23.92399309,medium,74.37559676,"18 min pred trials, mean of 5+6 min (240+300 start) and 13+14 min (720+780 start)"
LIRS 2014,Chromis,control,Tank 3 fish 3,17.7949304,medium,32.27820226,"18 min pred trials, mean of 5+6 min (240+300 start) and 13+14 min (720+780 start)"
LIRS 2014,Chromis,control,Tank 3 fish 4,32.67979694,medium,23.56665297,"18 min pred trials, mean of 5+6 min (240+300 start) and 13+14 min (720+780 start)"
LIRS 2014,Chromis,control,Tank 4 fish 1_2,26.55073425,medium,17.08403169,"18 min pred trials, mean of 5+6 min (240+300 start) and 13+14 min (720+780 start)"
LIRS 2014,Chromis,control,Tank 4 fish 2_2,30.92863617,medium,71.39709594,"18 min pred trials, mean of 5+6 min (240+300 start) and 13+14 min (720+780 start)"
LIRS 2014,Chromis,control,Tank 4 fish 3_2,23.04841271,medium,35.9392023,"18 min pred trials, mean of 5+6 min (240+300 start) and 13+14 min (720+780 start)"
LIRS 2014,Chromis,control,Tank 4 fish 4_2,22.17283232,medium,21.13048026,"18 min pred trials, mean of 5+6 min (240+300 start) and 13+14 min (720+780 start)"
LIRS 2014,Chromis,control,Tank 4 fish 5_2,21.29725194,medium,27.86594427,"18 min pred trials, mean of 5+6 min (240+300 start) and 13+14 min (720+780 start)"
LIRS 2014,Chromis,control,Tank 4 fish 6_2,43.18676155,big,14.08284922,"18 min pred trials, mean of 5+6 min (240+300 start) and 13+14 min (720+780 start)"
LIRS 2014,Chromis,control,Tank 4 fish 7_2,28.30189502,medium,51.5993266,"18 min pred trials, mean of 5+6 min (240+300 start) and 13+14 min (720+780 start)"
LIRS 2014,Chromis,control,Tank 4 fish 8_2,19.54609117,medium,34.21491543,"18 min pred trials, mean of 5+6 min (240+300 start) and 13+14 min (720+780 start)"
LIRS 2014,Chromis,control,Tank 8 fish 1,34.43095771,medium,30.70985604,"18 min pred trials, mean of 5+6 min (240+300 start) and 13+14 min (720+780 start)"
LIRS 2014,Chromis,control,Tank 8 fish 2,43.18676155,big,16.26057318,"18 min pred trials, mean of 5+6 min (240+300 start) and 13+14 min (720+780 start)"
LIRS 2014,Chromis,control,Tank 7 fish 1,19.54609117,medium,20.01237533,"18 min pred trials, mean of 5+6 min (240+300 start) and 13+14 min (720+780 start)"
LIRS 2014,Chromis,control,Tank 7 fish 2,35.30653809,big,5.817648663,"18 min pred trials, mean of 5+6 min (240+300 start) and 13+14 min (720+780 start)"
LIRS 2014,Chromis,control,Tank 7 fish 5,34.43095771,medium,0,"18 min pred trials, mean of 5+6 min (240+300 start) and 13+14 min (720+780 start)"
LIRS 2014,Chromis,control,Tank 7 fish 6,21.29725194,medium,58.04411765,"18 min pred trials, mean of 5+6 min (240+300 start) and 13+14 min (720+780 start)"
LIRS 2014,Chromis,control,Tank 7 fish 7,23.92399309,medium,11.86041757,"18 min pred trials, mean of 5+6 min (240+300 start) and 13+14 min (720+780 start)"
LIRS 2014,Chromis,CO2,Tank 5 fish 1,19.54609117,medium,14.84482954,"18 min pred trials, mean of 5+6 min (240+300 start) and 13+14 min (720+780 start)"
LIRS 2014,Chromis,CO2,Tank 5 fish 2,20.42167155,medium,37.95464914,"18 min pred trials, mean of 5+6 min (240+300 start) and 13+14 min (720+780 start)"
LIRS 2014,Chromis,CO2,Tank 5 fish 3,32.67979694,medium,8.962751408,"18 min pred trials, mean of 5+6 min (240+300 start) and 13+14 min (720+780 start)"
LIRS 2014,Chromis,CO2,Tank 5 fish 4,32.67979694,medium,59.64182871,"18 min pred trials, mean of 5+6 min (240+300 start) and 13+14 min (720+780 start)"
LIRS 2014,Chromis,CO2,Tank 2 fish 1,17.7949304,medium,20.80409803,"18 min pred trials, mean of 5+6 min (240+300 start) and 13+14 min (720+780 start)"
